District code,District name,Category,Student group,2022-2023 student count - year to date,2022-2023 attendance rate - year to date,2021-2022 student count,2021-2022 attendance rate,2020-2021 student count,2020-2021 attendance rate,2019-2020 student count,2019-2020 attendance rate,Reporting period,Update date
00000CT,Connecticut,,All Students,494006,0.9232,495156,0.9211,496458,0.9314,508345,0.9479,May-23,6/16/23
00000CT,Connecticut,Homelessness,Students Experiencing Homelessness,2385,0.8432,3645,0.8304,3110,0.8043,3916,0.8884,May-23,6/16/23
00000CT,Connecticut,Students With Disabilities,Students With Disabilities,79157,0.8992,83434,0.8952,81320,0.8958,80364,0.9277,May-23,6/16/23
00000CT,Connecticut,Free/Reduced Lunch,Free Meal Eligible,171312,0.8975,180342,0.891,181907,0.8862,193705,0.9314,May-23,6/16/23
00000CT,Connecticut,Free/Reduced Lunch,Reduced Price Meal Eligible,28732,0.9267,27218,0.9225,25735,0.9352,27507,0.9518,May-23,6/16/23
00000CT,Connecticut,Free/Reduced Lunch,Free/Reduced Price Meal Eligible,200044,0.9017,207560,0.8952,207642,0.8923,221212,0.934,May-23,6/16/23
00000CT,Connecticut,English Learners,English Learners,47371,0.9118,48220,0.9042,43217,0.8959,45413,0.9389,May-23,6/16/23
00000CT,Connecticut,Race/Ethnicity,All other races,49090,0.9338,48371,0.9342,47471,0.9502,47263,0.9559,May-23,6/16/23
00000CT,Connecticut,Race/Ethnicity,Black or African American,61197,0.9093,61758,0.8999,62584,0.8967,64199,0.9401,May-23,6/16/23
00000CT,Connecticut,Race/Ethnicity,Hispanic/Latino of any race,149197,0.906,144253,0.9,138910,0.8984,136948,0.9362,May-23,6/16/23
00000CT,Connecticut,Race/Ethnicity,White,234522,0.9355,240774,0.9361,247493,0.9547,259935,0.9543,May-23,6/16/23
00000CT,Connecticut,High Needs,Students Without High Needs,243186,0.9416,235736,0.9435,240575,0.9643,241610,0.9606,May-23,6/16/23
00000CT,Connecticut,High Needs,Students With High Needs,250820,0.9059,259420,0.9002,255883,0.9,266735,0.9361,May-23,6/16/23
10011,Andover School District,,All Students,164,0.9326,161,0.9385,144,0.9681,158,0.9502,May-23,6/16/23
10011,Andover School District,Students With Disabilities,Students With Disabilities,22,0.9296,24,0.9304,21,0.9579,,,May-23,6/16/23
10011,Andover School District,Free/Reduced Lunch,Free/Reduced Price Meal Eligible,36,0.9254,30,0.9235,29,0.9399,37,0.9401,May-23,6/16/23
10011,Andover School District,Race/Ethnicity,White,140,0.932,134,0.9365,117,0.9699,128,0.9479,May-23,6/16/23
10011,Andover School District,High Needs,Students Without High Needs,111,0.9344,112,0.9427,99,0.9752,108,0.9552,May-23,6/16/23
10011,Andover School District,High Needs,Students With High Needs,53,0.9288,49,0.9287,45,0.9523,50,0.9389,May-23,6/16/23
20011,Ansonia School District,,All Students,2228,0.9236,2146,0.9229,2153,0.8936,2185,0.9413,May-23,6/16/23
20011,Ansonia School District,Students With Disabilities,Students With Disabilities,360,0.911,359,0.9081,377,0.8697,411,0.9337,May-23,6/16/23
20011,Ansonia School District,Free/Reduced Lunch,Free Meal Eligible,1204,0.9095,1221,0.9083,1309,0.868,1312,0.9312,May-23,6/16/23
20011,Ansonia School District,Free/Reduced Lunch,Reduced Price Meal Eligible,190,0.9447,173,0.9363,192,0.9289,147,0.9563,May-23,6/16/23
